@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
65,'2022/10/06 15:25:24:225',1,-1,0.947166,-0.259323,-0.175318,0.009834,0.10878,0.07171,0.113972,-0.095465,0.05916,0.013529,0.021664,0.022927,-0.009549,0.017886,-0.028441,0.027528,0.007419,-0.055808,0.046977,0.005505,0.023841,0.023297,0.007504,1
66,'2022/10/06 15:25:24:229',1,-1,0.909637,-0.247198,-0.160732,-0.006531,0.116479,0.076513,0.140315,-0.093975,0.069188,0.020308,0.029002,0.032483,-0.018751,0.010384,-0.035083,0.032572,-0.010711,-0.048788,0.020088,0.012376,0.025483,0.01338,-0.006574,1
67,'2022/10/06 15:25:24:237',1,-1,0.901798,-0.275499,-0.183003,-0.017151,0.103136,0.059806,0.120748,-0.100544,0.061305,0.014834,0.007984,0.027489,-0.007996,-0.003023,-0.041898,0.031291,-0.011452,-0.056767,0.015058,0.005764,0.029254,0.015218,-0.013462,1
68,'2022/10/06 15:25:24:241',1,-1,0.923858,-0.27112,-0.199189,-0.041427,0.126271,0.0291,0.085982,-0.078189,0.036282,0.000524,0.012963,0.018077,-0.020365,0.025318,-0.040696,0.00545,0.00755,-0.049935,0.011438,0.00093,0.033152,0.012009,-0.01101,1
69,'2022/10/06 15:25:24:248',1,-1,0.907273,-0.270571,-0.204894,-0.005013,0.108851,0.047095,0.091746,-0.084322,0.062919,-0.016225,0.007909,0.022976,-0.010617,0.024138,-0.041765,0.025763,-0.004025,-0.047562,0.018593,0.00898,0.020565,0.025498,-0.008747,1
70,'2022/10/06 15:25:24:256',1,-1,0.902082,-0.267382,-0.179299,0.001914,0.093586,0.069323,0.102968,-0.081813,0.071046,-0.004474,0.005666,0.021739,0.005031,0.022622,-0.044957,0.038774,-0.004266,-0.037006,0.02205,0.004923,0.017533,0.021048,-0.006141,1
71,'2022/10/06 15:25:24:260',1,-1,0.915197,-0.283418,-0.166643,-0.001554,0.090785,0.075279,0.113072,-0.092643,0.050426,-0.00949,0.015316,-0.014055,0.008306,0.032471,-0.060462,0.014267,-0.016567,-0.03808,0.001019,0.010229,0.022452,0.005606,-0.001956,1
72,'2022/10/06 15:25:24:264',1,-1,0.918035,-0.28082,-0.195193,-0.01147,0.108838,0.071585,0.100568,-0.090265,0.055993,0.0011,0.018572,-0.006995,0.01258,0.03045,-0.056041,0.01318,-0.01024,-0.039784,0.006788,0.004508,0.031954,0.002199,0.005503,1
73,'2022/10/06 15:25:24:271',1,-1,0.929765,-0.274632,-0.22076,-0.017243,0.12761,0.063884,0.099309,-0.08298,0.068127,0.019787,0.015088,0.001342,0.019048,0.016519,-0.044251,0.019948,-0.011499,-0.046124,0.027772,-0.016135,0.033477,0.007146,0.000427,1
74,'2022/10/06 15:25:24:276',1,-1,0.875692,-0.312678,-0.190911,-0.014227,0.069472,0.073452,0.104624,-0.11855,0.055587,0.024283,-0.032102,0.003426,0.027172,0.000894,-0.041349,0.034629,-0.023824,-0.058018,0.035249,-0.007858,0.021771,0.022225,-0.006478,1
75,'2022/10/06 15:25:24:283',1,-1,0.894771,-0.296947,-0.162037,-0.004356,0.078624,0.096439,0.111668,-0.112222,0.06677,0.026724,-0.026358,0.014076,0.036176,0.015919,-0.036329,0.043158,-0.009666,-0.046127,0.033851,-0.008934,0.02278,0.021297,-0.005836,1
76,'2022/10/06 15:25:24:290',1,-1,0.939505,-0.284122,-0.169955,0.010864,0.093644,0.077161,0.108992,-0.089352,0.069396,0.000059,0.011949,0.005571,0.006613,0.03032,-0.020961,0.018468,-0.000563,-0.037111,0.026105,-0.000045,0.015875,0.015965,-0.006842,1
77,'2022/10/06 15:25:24:295',1,-1,0.891559,-0.279562,-0.190136,-0.000456,0.095848,0.048108,0.123538,-0.116801,0.076396,0.009721,-0.003938,0.013014,-0.003146,0.034573,-0.039056,0.002164,0.001903,-0.055738,0.040727,-0.00729,0.007574,0.017263,0.007708,1
78,'2022/10/06 15:25:24:299',1,-1,0.900925,-0.278956,-0.182619,-0.000444,0.092846,0.056059,0.140379,-0.126263,0.074104,0.022143,-0.006333,0.016083,-0.003639,0.024507,-0.026269,0.011236,0.00772,-0.060402,0.055167,-0.002967,0.006406,0.020189,0.006437,1
79,'2022/10/06 15:25:24:306',1,-1,0.914172,-0.27516,-0.205423,-0.000218,0.103606,0.056198,0.129644,-0.115162,0.060815,0.014688,0.009905,0.03271,-0.030883,0.007757,-0.019534,0.006189,-0.009387,-0.070235,0.046392,0.006512,-0.011535,0.017484,0.011432,1
80,'2022/10/06 15:25:24:311',1,-1,0.917206,-0.265286,-0.217019,0.004464,0.103768,0.066498,0.122321,-0.100211,0.054853,0.016269,0.025719,0.028322,-0.012346,0.017683,-0.021001,0.021137,-0.006118,-0.05891,0.03421,0.005808,0.015174,0.024149,0.00951,1
81,'2022/10/06 15:25:24:318',1,-1,0.910053,-0.248055,-0.229013,0.012755,0.085517,0.037179,0.111788,-0.08079,0.046183,0.008268,0.024917,0.005888,-0.000073,0.023934,-0.024327,0.022704,-0.008157,-0.040958,0.030161,0.002278,0.026024,0.022681,-0.001422,1
82,'2022/10/06 15:25:24:326',1,-1,0.910269,-0.271867,-0.218061,0.015697,0.094189,0.035379,0.112575,-0.076269,0.057162,-0.001077,0.018129,0.002224,-0.003288,0.002765,-0.020713,0.009292,-0.009987,-0.060176,0.035773,0.001002,0.027818,0.011472,0.002616,1
